st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,1,Sadulshahar,GURVINDER KOUR,Aam Aadmi Party,1912,13,1925,0.97
S20,Rajasthan,1,Sadulshahar,GURVEER SINGH,Bharatiya Janata Party,73605,828,74433,37.58
S20,Rajasthan,1,Sadulshahar,JAGDISH CHANDER,Indian National Congress,57043,956,57999,29.28
S20,Rajasthan,1,Sadulshahar,RAJENDRA KUMAR,Bahujan Samaj Party,817,7,824,0.42
S20,Rajasthan,1,Sadulshahar,RAI SAHAB,Republican Party of India (Athawale),646,2,648,0.33
S20,Rajasthan,1,Sadulshahar,OM BISHNOI,Independent,58370,603,58973,29.77
S20,Rajasthan,1,Sadulshahar,JAGDISH,Independent,432,6,438,0.22
S20,Rajasthan,1,Sadulshahar,DIVAKAR WALIA,Independent,807,4,811,0.41
S20,Rajasthan,1,Sadulshahar,NARESH GARG,Independent,405,4,409,0.21
S20,Rajasthan,1,Sadulshahar,HARBANS SINGH,Independent,459,4,463,0.23
S20,Rajasthan,1,Sadulshahar,NOTA,None of the Above,1146,16,1162,0.59
S20,Rajasthan,2,Ganganagar,ANKUR MAGLANI,Indian National Congress,38111,895,39006,21.5
S20,Rajasthan,2,Ganganagar,JAYDEEP BIHANI,Bharatiya Janata Party,79978,1023,81001,44.66
S20,Rajasthan,2,Ganganagar,PARMANAND,Bahujan Samaj Party,758,8,766,0.42
S20,Rajasthan,2,Ganganagar,HARISH RAHEJA,Aam Aadmi Party,1961,26,1987,1.1
S20,Rajasthan,2,Ganganagar,VIJAY KUMAR,Rashtriya Jatigat Aarakshan Virodhi Party,472,1,473,0.26
S20,Rajasthan,2,Ganganagar,ARUNA CHANDAK,Independent,1202,100,1302,0.72
S20,Rajasthan,2,Ganganagar,ASHOK KUMAR GROVER,Independent,422,1,423,0.23
S20,Rajasthan,2,Ganganagar,KARUNA ASHOK CHANDAK,Independent,50653,569,51222,28.24
S20,Rajasthan,2,Ganganagar,KRISHAN KUMAR,Independent,823,0,823,0.45
S20,Rajasthan,2,Ganganagar,JAGDISH THAKUR,Independent,398,6,404,0.22
S20,Rajasthan,2,Ganganagar,JAIDEEP,Independent,315,38,353,0.19
