st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,61,Chitrakoot,KONETI SUJATHA,Bahujan Samaj Party,841,6,847,0.46
S12,Madhya Pradesh,61,Chitrakoot,MAGANTI GOPINATH,Bharat Rashtra Samithi,80328,221,80549,43.94
S12,Madhya Pradesh,61,Chitrakoot,MOHAMMED AZHARUDDIN,Indian National Congress,63838,374,64212,35.03
S12,Madhya Pradesh,61,Chitrakoot,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,7829,19,7848,4.28
S12,Madhya Pradesh,61,Chitrakoot,LANKALA DEEPAK REDDY,Bharatiya Janata Party,25756,110,25866,14.11
S12,Madhya Pradesh,61,Chitrakoot,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,190,0,190,0.1
S12,Madhya Pradesh,61,Chitrakoot,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,924,1,925,0.5
S12,Madhya Pradesh,61,Chitrakoot,M.PRASUNAMBA,Navarang Congress Party,122,0,122,0.07
S12,Madhya Pradesh,61,Chitrakoot,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,74,1,75,0.04
S12,Madhya Pradesh,61,Chitrakoot,ANAND RAO,Independent,52,1,53,0.03
S12,Madhya Pradesh,61,Chitrakoot,MACHCHERLA VENKAT REDDY,Independent,64,1,65,0.04
S12,Madhya Pradesh,61,Chitrakoot,MOHAMMED AKBARUDDIN,Independent,89,3,92,0.05
S12,Madhya Pradesh,61,Chitrakoot,MOHAMMED ISMAIL KHAN,Independent,58,0,58,0.03
S12,Madhya Pradesh,61,Chitrakoot,VANAPARTHY RAMBABU,Independent,109,0,109,0.06
S12,Madhya Pradesh,61,Chitrakoot,SHAIK KAREEM,Independent,199,0,199,0.11
S12,Madhya Pradesh,61,Chitrakoot,SHAIK SHAREEF,Independent,212,0,212,0.12
S12,Madhya Pradesh,61,Chitrakoot,SIDDHARTHA CHAKRAVARTHY,Independent,144,0,144,0.08
S12,Madhya Pradesh,61,Chitrakoot,SURABHI SINGH,Independent,222,1,223,0.12
S12,Madhya Pradesh,61,Chitrakoot,SHIV SHANKAR REDDY.S,Independent,149,0,149,0.08
S12,Madhya Pradesh,61,Chitrakoot,NOTA,None of the Above,1367,7,1374,0.75
